id,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date
bitcoin,Bitcoin,26110.0,508080560850,1,12679489189,26222.0,25874.0,-85.32390914179996,-0.32572,-2414655507.3914795,-0.473,69045.0,-62.19545,2021-11-10 14:24:11.849000+00:00,67.81,38393.50942,2013-07-06 00:00:00+00:00
ethereum,Ethereum,1672.61,201033838480,2,7357444689,1687.41,1655.85,-14.80458191901539,-0.87736,-2027135480.6335144,-0.99829,4878.26,-65.72169,2021-11-10 14:24:19.604000+00:00,0.432979,386104.8679,2015-10-20 00:00:00+00:00
tether,Tether,0.999933,82812065255,3,18614074557,1.003,0.997909,-0.001007165386635145,-0.10062,-66884420.00782776,-0.0807,1.32,-24.45105,2018-07-24 00:00:00+00:00,0.572521,74.59352,2015-03-02 00:00:00+00:00
binancecoin,BNB,211.62,32472421598,4,694142261,217.59,207.45,-5.963503057357883,-2.74075,-995152232.5823288,-2.97348,686.31,-69.24814,2021-05-10 07:24:17.097000+00:00,0.0398177,529945.78513,2017-10-19 00:00:00+00:00
ripple,XRP,0.522456,27598062064,5,1345514414,0.542217,0.510545,-0.01804691961669813,-3.33891,-1040517659.717495,-3.63327,3.4,-84.64512,2018-01-07 00:00:00+00:00,0.00268621,19326.19922,2014-05-22 00:00:00+00:00
usd-coin,USD Coin,1.0,26000465283,6,2805800724,1.004,0.997562,0.0007289,0.07293,10470210.0,0.04029,1.17,-14.72251,2019-05-08 00:40:28.300000+00:00,0.877647,13.94726,2023-03-11 08:02:13.981000+00:00
staked-ether,Lido Staked Ether,1672.1,13806823559,7,8686349,1686.41,1656.54,-14.302927558776446,-0.84813,-47421114.54466057,-0.34229,4829.57,-65.38829,2021-11-10 14:40:47.256000+00:00,482.9,246.16069,2020-12-22 04:08:21.854000+00:00
cardano,Cardano,0.264544,9269544642,8,168639514,0.272207,0.261241,-0.006943225006950105,-2.55747,-239575532.46735573,-2.51943,3.09,-91.43214,2021-09-02 06:00:10.474000+00:00,0.01925275,1273.73819,2020-03-13 02:22:55.044000+00:00
dogecoin,Dogecoin,0.062671,8810578992,9,328375183,0.064003,0.06131,-0.001332899523076081,-2.08254,-205281667.04021645,-2.27689,0.731578,-91.44068,2021-05-08 05:08:23.458000+00:00,8.69e-05,71954.57807,2015-05-06 00:00:00+00:00
solana,Solana,21.31,8687924937,10,346634200,21.88,20.72,-0.5699575340080649,-2.60504,-243036912.38303375,-2.72128,259.96,-91.80142,2021-11-06 21:54:35.825000+00:00,0.500801,4155.77658,2020-05-11 19:35:23.449000+00:00
